USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
AK	02158	01419985	Kusilvak Census Area	44218384953	6697190751	17072.815	2585.8	62.283588	-163.190171                                                                                                    
AK	02164	01419975	Lake and Peninsula Borough	61894488750	25991759519	23897.597	10035.475	58.108674	-156.414001                                                                                          
AK	02170	01419976	Matanuska-Susitna Borough	63760578688	1704714297	24618.098	658.194	62.279075	-149.617562                                                                                              
AK	02180	01419977	Nome Census Area	59496552709	13774839669	22971.748	5318.496	64.783686	-164.188912                                                                                                     
AK	02185	01419978	North Slope Borough	230056014591	15547168253	88825.128	6002.795	69.449343	-153.47283                                                                                                  
AK	02188	01419979	Northwest Arctic Borough	92326483031	12878258897	35647.456	4972.324	67.005066	-160.021086                                                                                             
AK	02195	02516404	Petersburg Borough	7513010884	2385501229	2900.79	921.047	57.112458	-133.008598                                                                                                        
AK	02198	01419980	Prince of Wales-Hyder Census Area	13630288113	14625197420	5262.684	5646.821	55.682773	-133.162389                                                                                     
AK	02220	01419981	Sitka City and Borough	7433222810	5037940435	2869.983	1945.16	57.193204	-135.367396                                                                                                   
AK	02230	02339479	Skagway Municipality	1124107036	28607173	434.02	11.045	59.575097	-135.335418                                                                                                          
AK	02240	01419983	Southeast Fairbanks Census Area	64290353013	752301282	24822.645	290.465	63.864997	-143.218628                                                                                         
AK	02261	01419984	Valdez-Cordova Census Area	88635832004	15763249807	34222.488	6086.225	61.34984	-145.023141                                                                                            
AK	02275	02516402	Wrangell City and Borough	6619614514	2384746838	2555.848	920.756	56.317416	-132.343978                                                                                                
AK	02282	01419986	Yakutat City and Borough	19746741191	35390272145	7624.26	13664.261	59.963024	-141.761587                                                                                              
AK	02290	01419987	Yukon-Koyukuk Census Area	377030936019	5953180597	145572.464	2298.536	65.375718	-151.577873                                                                                           
AZ	04001	00025441	Apache County	29001298929	54174161	11197.465	20.917	35.385084	-109.490172                                                                                                             
AZ	04003	00025442	Cochise County	15966166113	137024922	6164.571	52.906	31.840129	-109.775163                                                                                                            
AZ	04005	00025443	Coconino County	48222181220	110085803	18618.689	42.504	35.829692	-111.773728                                                                                                          
AZ	04007	00040471	Gila County	12323146398	97119865	4757.994	37.498	33.789618	-110.81187                                                                                                                 
AZ	04009	00025444	Graham County	11972778533	47436491	4622.716	18.315	32.931828	-109.87831                                                                                                               
AZ	04011	00042807	Greenlee County	4770701078	13750461	1841.978	5.309	33.238872	-109.242323                                                                                                              
AZ	04012	00043540	La Paz County	11653980557	36567994	4499.627	14.119	33.72761	-114.038806                                                                                                               
AZ	04013	00037026	Maricopa County	23825875275	64310266	9199.222	24.83	33.346541	-112.495534                                                                                                             
AZ	04015	00025445	Mohave County	34475503964	387344307	13311.067	149.554	35.717705	-113.749689                                                                                                           
AZ	04017	00042808	Navajo County	25770094249	24078111	9949.889	9.297	35.390785	-110.321025                                                                                                               
AZ	04019	00025446	Pima County	23794788865	5259325	9187.22	2.031	32.128523	-111.783027                                                                                                                   
AZ	04021	00025447	Pinal County	13897471114	22332471	5365.844	8.623	32.918538	-111.366387                                                                                                                
AZ	04023	00040472	Santa Cruz County	3203613249	3088046	1236.922	1.192	31.525733	-110.845228                                                                                                             
AZ	04025	00042809	Yavapai County	21039796372	11501575	8123.511	4.441	34.631212	-112.577385                                                                                                              
AZ	04027	00023901	Yuma County	14281265651	13171316	5514.028	5.085	32.773942	-113.910905                                                                                                                 
AR	05001	00063755	Arkansas County	2560988637	116409463	988.803	44.946	34.28957	-91.376547                                                                                                               
AR	05003	00063756	Ashley County	2396650149	39309860	925.352	15.178	33.190835	-91.772267                                                                                                                 
AR	05005	00069895	Baxter County	1435438032	84171993	554.226	32.499	36.280759	-92.330476                                                                                                                 
AR	05007	00069896	Benton County	2195019818	94307300	847.502	36.412	36.337836	-94.256224                                                                                                                 
AR	05009	00069897	Boone County	1528076369	31092507	589.994	12.005	36.304299	-93.079236                                                                                                                  
AR	05011	00063757	Bradley County	1681514463	9532926	649.236	3.681	33.466549	-92.169156                                                                                                                  
AR	05013	00063758	Calhoun County	1627975434	9926146	628.565	3.833	33.56046	-92.513879                                                                                                                   
AR	05015	00066975	Carroll County	1631597803	22434173	629.963	8.662	36.337774	-93.541663                                                                                                                 
AR	05017	00069160	Chicot County	1668823393	120315319	644.336	46.454	33.267139	-91.297158                                                                                                                
AR	05019	00066845	Clark County	2243130473	43387485	866.078	16.752	34.053316	-93.176208                                                                                                                  
AR	05021	00063759	Clay County	1656214466	5097734	639.468	1.968	36.367302	-90.418704                                                                                                                     
AR	05023	00066983	Cleburne County	1434168142	98893718	553.735	38.183	35.566315	-92.05995                                                                                                                
AR	05025	00063760	Cleveland County	1548252545	2500346	597.784	0.965	33.893201	-92.188714                                                                                                                
AR	05027	00063761	Columbia County	1983889573	1990757	765.984	0.769	33.223038	-93.232843                                                                                                                 
AR	05029	00066846	Conway County	1430330693	37331621	552.254	14.414	35.265702	-92.689248                                                                                                                 
AR	05031	00066847	Craighead County	1831867347	14069141	707.288	5.432	35.827729	-90.631421                                                                                                               
AR	05033	00069161	Crawford County	1531188224	31076498	591.195	11.999	35.583011	-94.236219                                                                                                               
AR	05035	00069162	Crittenden County	1580755099	67432622	610.333	26.036	35.211879	-90.315332                                                                                                             
AR	05037	00066848	Cross County	1596421812	15344834	616.382	5.925	35.285692	-90.763984                                                                                                                   
AR	05039	00066849	Dallas County	1728522517	1864048	667.386	0.72	33.967823	-92.653999                                                                                                                    
AR	05041	00066850	Desha County	1989461629	133085432	768.135	51.385	33.828752	-91.244103                                                                                                                 
AR	05043	00066851	Drew County	2145434146	18914033	828.357	7.303	33.587242	-91.722778                                                                                                                    
AR	05045	00066852	Faulkner County	1678176463	41765990	647.948	16.126	35.146286	-92.324711                                                                                                               
AR	05047	00066853	Franklin County	1576930289	27936032	608.856	10.786	35.508558	-93.887665                                                                                                               
AR	05049	00066854	Fulton County	1601111649	5526927	618.193	2.134	36.383619	-91.819664                                                                                                                   
AR	05051	00066855	Garland County	1755290919	147383373	677.722	56.905	34.578852	-93.146932                                                                                                               
AR	05053	00066856	Grant County	1636384394	2896901	631.812	1.118	34.285568	-92.422979                                                                                                                    
AR	05055	00066857	Greene County	1496205815	4789586	577.688	1.849	36.120607	-90.566346                                                                                                                   
AR	05057	00066858	Hempstead County	1884268212	35372110	727.52	13.657	33.728611	-93.665809                                                                                                               
AR	05059	00066859	Hot Spring County	1593376791	18038347	615.206	6.965	34.315177	-92.944147                                                                                                              
AR	05061	00066872	Howard County	1524380220	17475726	588.567	6.747	34.083064	-93.990931                                                                                                                  
AR	05063	00069163	Independence County	1978631574	19593589	763.954	7.565	35.737499	-91.559942                                                                                                            
AR	05065	00066860	Izard County	1503683620	8913818	580.576	3.442	36.094879	-91.913625                                                                                                                    
AR	05067	00066861	Jackson County	1641853230	19623381	633.923	7.577	35.596467	-91.223205                                                                                                                 
AR	05069	00066862	Jefferson County	2253166949	113500176	869.953	43.823	34.277628	-91.930701                                                                                                             
AR	05071	00066863	Johnson County	1709103300	59195663	659.889	22.856	35.573359	-93.466322                                                                                                                
AR	05073	00066864	Lafayette County	1368278178	43469442	528.295	16.784	33.240629	-93.611514                                                                                                              
AR	05075	00066865	Lawrence County	1521880659	12286159	587.601	4.744	36.041098	-91.101153                                                                                                                
AR	05077	00066866	Lee County	1560781749	43720910	602.621	16.881	34.779858	-90.779345                                                                                                                    
AR	05079	00066873	Lincoln County	1454438336	27514921	561.562	10.624	33.957675	-91.727626                                                                                                                
AR	05081	00066874	Little River County	1378586566	84150136	532.275	32.491	33.699497	-94.229774                                                                                                           
AR	05083	00082850	Logan County	1834026181	60685645	708.121	23.431	35.218654	-93.72091                                                                                                                   
AR	05085	00069164	Lonoke County	1996628025	82740471	770.902	31.946	34.755114	-91.894132                                                                                                                 
AR	05087	00069165	Madison County	2160705134	7320899	834.253	2.827	36.012545	-93.724053                                                                                                                  
AR	05089	00069898	Marion County	1546109507	112285682	596.956	43.354	36.266664	-92.678577                                                                                                                
AR	05091	00069166	Miller County	1620232433	31271179	625.575	12.074	33.305505	-93.901502                                                                                                                 
AR	05093	00069899	Mississippi County	2332480068	49826375	900.576	19.238	35.766944	-90.052207                                                                                                            
AR	05095	00069167	Monroe County	1572480973	36694917	607.138	14.168	34.679512	-91.20331                                                                                                                  
AR	05097	00069168	Montgomery County	2019824136	52913372	779.858	20.43	34.545581	-93.663329                                                                                                              
AR	05099	00069169	Nevada County	1600192985	7254365	617.838	2.801	33.666699	-93.305072                                                                                                                   
AR	05101	00069900	Newton County	2126136365	5930177	820.906	2.29	35.910742	-93.215899                                                                                                                    
AR	05103	00069170	Ouachita County	1897898732	18050431	732.783	6.969	33.591168	-92.878413                                                                                                                
AR	05105	00069171	Perry County	1428543051	23226441	551.564	8.968	34.946363	-92.926877                                                                                                                   
AR	05107	00069172	Phillips County	1801429477	82378714	695.536	31.807	34.423687	-90.855593                                                                                                               
AR	05109	00069173	Pike County	1555599952	34989238	600.621	13.509	34.158191	-93.658659                                                                                                                   
AR	05111	00069174	Poinsett County	1964147526	13521720	758.362	5.221	35.56887	-90.681104                                                                                                                 
AR	05113	00069175	Polk County	2221382755	12372286	857.681	4.777	34.490915	-94.230884                                                                                                                    
AR	05115	00069901	Pope County	2104418088	47279033	812.52	18.255	35.456557	-93.026818                                                                                                                    
AR	05117	00069176	Prairie County	1678019592	71807768	647.887	27.725	34.831116	-91.55362                                                                                                                 
AR	05119	00069177	Pulaski County	1965575733	126242806	758.913	48.743	34.770311	-92.312996                                                                                                               
AR	05121	00069178	Randolph County	1689288878	9852495	652.238	3.804	36.341298	-91.028441                                                                                                                 
AR	05123	00083331	St. Francis County	1644132565	20028723	634.803	7.733	35.014026	-90.742138                                                                                                             
AR	05125	00067102	Saline County	1873978476	17979687	723.547	6.942	34.648525	-92.674463                                                                                                                  
AR	05127	00069179	Scott County	2311063525	14887193	892.307	5.748	34.858869	-94.063641                                                                                                                   
AR	05129	00069180	Searcy County	1725176973	6256687	666.095	2.416	35.896387	-92.695888                                                                                                                   
AR	05131	00069181	Sebastian County	1377601663	39693809	531.895	15.326	35.196981	-94.274989                                                                                                              
AR	05133	00069182	Sevier County	1463680831	41831844	565.13	16.151	33.994877	-94.243279                                                                                                                  
AR	05135	00069183	Sharp County	1565460785	5201389	604.428	2.008	36.173399	-91.471069                                                                                                                    
AR	05137	00069902	Stone County	1570579424	7841928	606.404	3.028	35.857017	-92.140508                                                                                                                    
AR	05139	00069903	Union County	2691555882	41400824	1039.216	15.985	33.168219	-92.598145                                                                                                                 
AR	05141	00069904	Van Buren County	1838200422	37692771	709.733	14.553	35.582953	-92.515976                                                                                                              
AR	05143	00069905	Washington County	2439678769	27051804	941.965	10.445	35.971209	-94.218417                                                                                                             
AR	05145	00069906	White County	2680852086	18293044	1035.083	7.063	35.255118	-91.753034                                                                                                                  
AR	05147	00069907	Woodruff County	1519723278	18703959	586.768	7.222	35.192777	-91.244535                                                                                                                
AR	05149	00069908	Yell County	2409046726	48482972	930.138	18.719	34.997713	-93.408303                                                                                                                   
CA	06001	01675839	Alameda County	1909616630	216916717	737.307	83.752	37.647139	-121.912488                                                                                                              
CA	06003	01675840	Alpine County	1912292631	12557304	738.34	4.848	38.621783	-119.798352                                                                                                                  
CA	06005	01675841	Amador County	1539933576	29470568	594.572	11.379	38.44355	-120.653856                                                                                                                 
CA	06007	01675842	Butte County	4238438196	105310997	1636.47	40.661	39.665959	-121.601919                                                                                                                
CA	06009	01675885	Calaveras County	2641829199	43797662	1020.016	16.91	38.1839	-120.561441                                                                                                               
CA	06011	01675902	Colusa County	2980332860	14608869	1150.713	5.641	39.177739	-122.237563                                                                                                                
CA	06013	01675903	Contra Costa County	1857310903	225193562	717.112	86.948	37.919479	-121.951543                                                                                                         
CA	06015	01682074	Del Norte County	2606117992	578742645	1006.228	223.454	41.763958	-124.003614                                                                                                          
CA	06017	00277273	El Dorado County	4423290535	203328338	1707.842	78.506	38.785532	-120.534398                                                                                                           
CA	06019	00277274	Fresno County	15431410219	137339029	5958.101	53.027	36.761006	-119.655019                                                                                                             
CA	06021	00277275	Glenn County	3403149421	33704225	1313.963	13.013	39.602546	-122.4017                                                                                                                  
CA	06023	01681908	Humboldt County	9241251740	1254039383	3568.067	484.187	40.706655	-123.926176                                                                                                          
CA	06025	00277277	Imperial County	10817291631	790230304	4176.58	305.11	33.040814	-115.3554                                                                                                              
CA	06027	01804637	Inyo County	26368508430	119088140	10180.938	45.98	36.561977	-117.403927                                                                                                               
CA	06029	02054176	Kern County	21062393794	78770534	8132.236	30.413	35.346629	-118.729506                                                                                                                
CA	06031	00277280	Kings County	3598593366	5453080	1389.425	2.105	36.072478	-119.81553                                                                                                                   
CA	06033	00277281	Lake County	3254348631	188852161	1256.511	72.916	39.094802	-122.746757                                                                                                                
CA	06035	01693324	Lassen County	11761615611	463426050	4541.185	178.93	40.721086	-120.629952                                                                                                             
CA	06037	00277283	Los Angeles County	10510588451	1794793532	4058.161	692.974	34.196398	-118.261862                                                                                                      
CA	06039	00277284	Madera County	5534850492	42012923	2137.018	16.221	37.209821	-119.749802                                                                                                               
CA	06041	00277285	Marin County	1347976832	797029137	520.457	307.735	38.051817	-122.745974                                                                                                               
CA	06043	00277286	Mariposa County	3752472156	36225644	1448.838	13.987	37.57003	-119.912861                                                                                                              
CA	06045	00277287	Mendocino County	9081426673	962946204	3506.359	371.796	39.432388	-123.442881                                                                                                          
CA	06047	00277288	Merced County	5012175320	112509475	1935.212	43.44	37.194806	-120.722802                                                                                                               
CA	06049	00277289	Modoc County	10140960164	745420669	3915.447	287.809	41.592918	-120.71837                                                                                                              
CA	06051	00277290	Mono County	7896838493	214695673	3048.987	82.894	37.915836	-118.875167                                                                                                                
CA	06053	00277291	Monterey County	8496680819	1270736099	3280.587	490.634	36.240107	-121.315572                                                                                                          
CA	06055	00277292	Napa County	1938165958	104249021	748.33	40.251	38.5071	-122.325904                                                                                                                    
CA	06057	01682927	Nevada County	2480587331	41531993	957.76	16.036	39.297508	-120.771343                                                                                                                 
CA	06059	00277294	Orange County	2048392529	406915886	790.889	157.111	33.675687	-117.777207                                                                                                              
CA	06061	00277295	Placer County	3644244131	246575767	1407.051	95.203	39.062032	-120.722718                                                                                                              
CA	06063	00277296	Plumas County	6612400919	156387635	2553.062	60.382	39.992295	-120.824371                                                                                                              
CA	06065	00277297	Riverside County	18664542308	250588224	7206.42	96.753	33.729828	-116.002239                                                                                                           
CA	06067	00277298	Sacramento County	2499039655	76217822	964.885	29.428	38.450016	-121.340441                                                                                                            
CA	06069	00277299	San Benito County	3596588882	4721397	1388.651	1.823	36.610702	-121.085296                                                                                                             
CA	06071	00277300	San Bernardino County	51948123813	123845007	20057.284	47.817	34.85722	-116.181197                                                                                                     
CA	06073	00277301	San Diego County	10898787530	822557348	4208.046	317.591	33.023604	-116.776117                                                                                                         
